"theta.1-1" "theta.2-1" "theta.3-1" "theta.1-2" "theta.2-2" "theta.3-2" "theta.1-3" "theta.2-3" "theta.3-3" "theta.1-4" "theta.2-4" "theta.3-4" "theta.1-5" "theta.2-5" "theta.3-5" "theta.1-6" "theta.2-6" "theta.3-6" "theta.1-7" "theta.2-7" "theta.3-7" "theta.1-8" "theta.2-8" "theta.3-8" "theta.1-9" "theta.2-9" "theta.3-9" "theta.1-10" "theta.2-10" "theta.3-10" "theta.1-11" "theta.2-11" "theta.3-11" "theta.1-12" "theta.2-12" "theta.3-12" "p.1" "p.2" "p.3"
"34" 0.0003341658 9.805551e-05 0.1253569 0.00135328 0.0002094758 0.8700429 0.000407134 0.0004530285 0.020351 0.0003073285 0.999681 0.00114803 0.99891 0.0005737767 0.002276868 0.3742996 0.3913493 0.4185737 0.5477818 0.4990371 0.495284 0.8766833 0.7351227 0.6928394 0.1943732 0.1098337 0.1058276 0.08201209 0.06100136 0.05132826 0.5153411 0.4659019 0.4812507 0.08139224 0.04507919 0.04753885 0.1854966 0.6485315 0.1659719
"35" 0.001092133 0.0001250232 0.09276193 0.0006458656 0.0008695387 0.8558859 0.001146583 0.0002050678 0.01595912 0.001459418 0.9999992 0.004132433 0.9987855 0.0004621035 0.001283575 0.3752989 0.392617 0.4111412 0.5273284 0.4986938 0.5069769 0.8740182 0.7383274 0.6899503 0.1728021 0.1166222 0.1143766 0.09074357 0.05750789 0.0369431 0.4676352 0.4655149 0.4404884 0.08208808 0.05262758 0.0381041 0.1837033 0.6433655 0.1729312
"36" 0.002390888 6.819247e-05 0.1178042 0.001402926 0.0008131354 0.8894029 0.0006300061 0.0002021221 0.02235741 0.0009872709 0.9998133 0.003270134 0.9996399 5.65449e-05 0.001812118 0.3570665 0.3885692 0.4251125 0.5243747 0.5042414 0.5540981 0.8711136 0.7411174 0.7165421 0.2020367 0.1165661 0.100084 0.09027167 0.05901788 0.0591952 0.5230412 0.4713615 0.4374212 0.08900148 0.05317303 0.0420534 0.1797088 0.6558827 0.1644084
"37" 0.002126512 0.0007131779 0.1068501 0.0001007342 0.0001734095 0.8800725 0.0008585015 0.0002842102 0.02258577 0.0005849173 0.9999869 0.0004786073 0.9983227 0.0004394812 0.007584977 0.3697109 0.3917971 0.4036293 0.483595 0.4967854 0.5240677 0.8733721 0.7341658 0.7654865 0.1849837 0.1003909 0.1268045 0.08779995 0.06371054 0.03849931 0.509608 0.4709835 0.422001 0.08391995 0.05703967 0.03462661 0.1781798 0.6482102 0.17361
"38" 0.0003413497 8.273045e-05 0.1190747 0.0005794615 1.827234e-06 0.8463886 8.843865e-05 2.930458e-05 0.02876974 0.004510909 0.9998087 0.001146142 0.9975577 0.0003303686 0.0004591219 0.3409866 0.3942041 0.3901248 0.514376 0.5191309 0.5256895 0.8577018 0.7521396 0.6879698 0.186642 0.1074363 0.1310861 0.07961396 0.06149587 0.05443774 0.4788989 0.4792715 0.3971957 0.07699904 0.05105466 0.0385892 0.1895306 0.6406534 0.1698161
"39" 0.00213341 0.001076945 0.1156908 0.003571134 0.0001681973 0.8557781 0.002003003 5.680674e-05 0.02398227 0.0002646477 0.9997094 0.001785922 0.9997961 0.0002775166 0.000463605 0.3754326 0.4136091 0.458324 0.5415537 0.5017517 0.5544274 0.8596908 0.7354557 0.7364356 0.1724158 0.1163365 0.1151206 0.0916583 0.06364649 0.05155294 0.4655109 0.4804607 0.4108212 0.07924303 0.05119487 0.05828349 0.1851277 0.6298876 0.1849847
"40" 0.001147372 5.376074e-05 0.1258233 0.002460657 0.0002144869 0.8740957 0.002059035 0.0001544661 0.0231805 0.002064115 0.9996622 0.0002624826 0.9915882 0.0001952925 0.005710009 0.3706678 0.3957972 0.4230585 0.5136994 0.5111726 0.5355377 0.8625253 0.7389802 0.7303745 0.1961819 0.1118691 0.1238679 0.08944367 0.05629024 0.06076789 0.5144695 0.4604163 0.4164728 0.07865613 0.06038881 0.04647013 0.1848766 0.6577104 0.157413
"41" 0.002524115 0.0001200358 0.1120988 0.00156157 0.0006533997 0.8532703 0.001769797 0.001839982 0.02873648 0.002917391 0.9995637 0.004697722 0.9998509 0.000535716 0.0002751841 0.3402112 0.4157886 0.4095026 0.4786915 0.5203614 0.5378569 0.875898 0.7400839 0.7332286 0.1881441 0.1163662 0.09860664 0.09701532 0.04916034 0.04256874 0.5135079 0.450708 0.4140409 0.09046397 0.06201102 0.03455263 0.1869509 0.6398853 0.1731638
"42" 0.001811008 0.000317385 0.1153182 0.002078486 1.384703e-05 0.8612983 0.002186228 0.0002005743 0.02918155 0.001015887 0.9993577 0.0008626934 0.9981633 0.0001006586 0.00217613 0.3877078 0.4100527 0.4219606 0.5271897 0.5115097 0.5287652 0.8691821 0.7562181 0.7282079 0.1823093 0.1074512 0.142484 0.08031533 0.06315445 0.03941934 0.5076327 0.4809727 0.4502566 0.09778548 0.04874351 0.03996137 0.1872371 0.6289774 0.1837855
"43" 5.677708e-05 0.000948386 0.08863749 0.0002993221 0.001586261 0.8726631 0.001833166 0.000582584 0.03083394 0.0005207152 0.9999699 0.003128994 0.9959641 0.001627662 0.004433831 0.398532 0.4030574 0.4151817 0.5352758 0.5078097 0.4989469 0.8916776 0.7208102 0.6802094 0.177704 0.1137912 0.1200775 0.1012132 0.0592698 0.05514895 0.5065833 0.4576646 0.4228511 0.0814504 0.05627304 0.03394707 0.1917213 0.6360009 0.1722778
