"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.699" 2 2 2
"z.700" 2 2 2
"z.701" 2 2 2
"z.702" 6 6 6
"z.703" 3 3 3
"z.704" 2 2 2
"z.705" 3 3 3
"z.706" 2 2 2
"z.707" 2 2 2
"z.708" 3 3 3
"z.709" 2 2 2
"z.710" 2 2 2
"z.711" 6 6 6
"z.712" 2 2 2
"z.713" 3 3 3
"z.714" 2 2 2
"z.715" 1 1 1
"z.716" 2 2 2
"z.717" 2 2 2
"z.718" 4 4 4
"z.719" 2 2 2
"z.720" 2 2 2
"z.721" 2 2 2
"z.722" 2 2 2
"z.723" 2 2 2
"z.724" 3 3 3
"z.725" 4 4 4
"z.726" 2 2 2
"z.727" 2 2 2
"z.728" 6 6 6
"z.729" 2 2 2
"z.730" 2 2 2
"z.731" 2 2 2
"z.732" 6 6 6
"z.733" 2 2 2
"z.734" 2 2 2
"z.735" 3 3 3
"z.736" 4 4 4
"z.737" 3 3 3
"z.738" 6 6 6
"z.739" 2 2 2
"z.740" 4 4 4
"z.741" 2 2 2
"z.742" 4 4 4
"z.743" 2 2 2
"z.744" 6 6 6
"z.745" 2 2 2
"z.746" 2 2 2
"z.747" 2 2 2
"z.748" 2 2 2
"z.749" 3 3 3
"z.750" 3 3 3
"z.751" 3 3 3
"z.752" 6 6 6
"z.753" 2 2 2
"z.754" 6 6 6
"z.755" 2 2 2
"z.756" 2 2 2
"z.757" 2 2 2
"z.758" 2 2 2
"z.759" 3 3 3
"z.760" 2 2 2
"z.761" 4 4 4
"z.762" 2 2 2
"z.763" 2 2 2
"z.764" 2 2 2
"z.765" 2 2 2
"z.766" 2 2 2
"z.767" 2 2 2
"z.768" 6 6 6
"z.769" 3 3 3
"z.770" 2 2 2
"z.771" 6 6 6
"z.772" 4 4 4
"z.773" 2 2 2
"z.774" 2 2 2
"z.775" 3 3 3
"z.776" 2 2 2
"z.777" 3 3 3
"z.778" 3 3 3
"z.779" 2 2 2
"z.780" 2 2 2
"z.781" 4 4 4
"z.782" 2 2 2
"z.783" 2 2 2
"z.784" 2 2 2
"z.785" 2 2 2
"z.786" 6 6 6
"z.787" 3 3 3
"z.788" 4 4 4
"z.789" 3 3 3
"z.790" 6 6 6
"z.791" 2 2 2
"z.792" 4 4 4
"z.793" 2 2 2
"z.794" 4 4 4
"z.795" 2 2 2
"z.796" 6 6 6
"z.797" 2 2 2
"z.798" 6 6 6
"z.799" 3 3 3
"z.800" 2 2 2
"z.801" 3 3 3
"z.802" 2 2 2
"z.803" 2 2 2
"z.804" 2 2 2
"z.805" 3 3 3
"z.806" 2 2 2
"z.807" 2 2 2
"z.808" 2 2 2
"z.809" 3 3 3
"z.810" 2 2 2
"z.811" 6 6 6
"z.812" 3 3 3
"z.813" 2 2 2
"z.814" 2 2 2
"z.815" 2 2 2
"z.816" 2 2 2
"z.817" 3 3 3
"z.818" 4 4 4
"z.819" 6 6 6
"z.820" 3 3 3
"z.821" 3 3 3
"z.822" 2 2 2
"z.823" 3 3 3
"z.824" 2 2 2
"z.825" 2 2 2
"z.826" 2 2 2
"z.827" 6 6 6
"z.828" 2 2 2
